dataset_id	dataset_family	benchmark_suite	domain	modality	task_definition	native_binary	binary_label_semantics	classification_or_relation	shift_type	shift_semantics	shift_variable	official_split	split_version	group_columns	timestamp_column	left_entity_column	right_entity_column	train_n	validation_n	target_n	target_positive_n	target_negative_n	positive_rate	n_groups	min_group_n	median_group_n	left_entity_n	right_entity_n	negative_sampling_protocol	official_metric	probability_or_score_available	supported_model_families	official_paper	official_repository	official_loader	release	package_version	commit	license	access_requirement	download_size	disk_size	estimated_cpu_hours	estimated_gpu_hours	known_leakage_or_version_issue	ethical_or_sensitive_attribute_issue	redundancy_family	hard_gate_status	admission_score	recommended_role	exclusion_reason	evidence_source	verification_status
wildtime_mimic_readmission	Wild-Time	Wild-Time	clinical records	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/huaxiuyao/Wild-Time	PENDING_OFFICIAL_VERIFICATION
mds_sentiment	Multi-Domain Sentiment	MDS	product reviews	text	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://www.cs.jhu.edu/~mdredze/datasets/sentiment/	PENDING_OFFICIAL_VERIFICATION
ogbl_collab	OGB	OGB	collaboration network	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://ogb.stanford.edu/docs/linkprop/	PENDING_OFFICIAL_VERIFICATION
ogbl_citation2	OGB	OGB	citation network	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://ogb.stanford.edu/docs/linkprop/	PENDING_OFFICIAL_VERIFICATION
tgbl_wiki_v2	TGB	TGB	interaction network	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://tgb.complexdatalab.com/	PENDING_OFFICIAL_VERIFICATION
tgbl_review_v2	TGB	TGB	product reviews	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://tgb.complexdatalab.com/	PENDING_OFFICIAL_VERIFICATION
tgbl_coin	TGB	TGB	transaction network	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://tgb.complexdatalab.com/	PENDING_OFFICIAL_VERIFICATION
tgbl_comment	TGB	TGB	online interaction	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://tgb.complexdatalab.com/	PENDING_OFFICIAL_VERIFICATION
tgbl_flight	TGB	TGB	transport network	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://tgb.complexdatalab.com/	PENDING_OFFICIAL_VERIFICATION
tabfsbench	TabFSBench	TabFSBench	UNRESOLVED	UNRESOLVED	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		UNRESOLVED	PENDING_OFFICIAL_VERIFICATION
cns_bench	CNS-Bench	CNS-Bench	UNRESOLVED	UNRESOLVED	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		UNRESOLVED	PENDING_OFFICIAL_VERIFICATION
oodrobustbench	OODRobustBench	OODRobustBench	UNRESOLVED	UNRESOLVED	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		UNRESOLVED	PENDING_OFFICIAL_VERIFICATION
bio_mdr	Biological relation	Existing Article2	miRNA-drug	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		results/public_only_registry.tsv	PENDING_OFFICIAL_VERIFICATION
bio_mds	Biological relation	Existing Article2	miRNA-disease	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		results/public_only_registry.tsv	PENDING_OFFICIAL_VERIFICATION
bio_circrna_disease	Biological relation	Existing Article2	circRNA-disease	graph/link	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		results/public_only_registry.tsv	PENDING_OFFICIAL_VERIFICATION
